cs,y,x,node
ANTO,48.7491008,2.3047932,87045
ASNI,48.9236968,2.2843417,92471
AUBE,48.9108451,2.381096,114918
AULN,48.9473429,2.5149087,54192
AUTE,48.8506939,2.2732189,62795
BITC,48.8890125,2.3798886,115093
BLME,48.9431574,2.4446058,9463
BLAN,48.8785162,2.3320259,97207
BOND,48.9045809,2.4897436,24959
BOUL,48.8371784,2.2473644,69977
BGLR,48.7792027,2.3185006,100546
BSLT,48.884107,2.3195057,94880
CHLY,48.8475714,2.3843241,116507
CHPT,48.8851919,2.2887745,91773
CHPY,48.8079548,2.5312165,47607
CHAR,48.8547355,2.4049084,5235
CHTO,48.8712148,2.3585635,107141
CHOI,48.7534598,2.4103526,2587
CLAM,48.8115229,2.2734661,63785
CLIC,48.9042582,2.5423026,43118
COBE,48.9222531,2.2620382,59819
COBI,48.8511192,2.3315023,97352
CBVE,48.8931509,2.2446893,74434
CRET,48.7865059,2.4581753,15522
DAUP,48.8684908,2.2841774,91191
DRAN,48.9201291,2.440259,9656
GENN,48.9292967,2.3013986,93279
GREN,48.8441278,2.2903177,90173
ISSY,48.8239583,2.2685187,63610
IVRY,48.8095139,2.387707,119949
JOIN,48.8121263,2.4584572,19291
LACO,48.9282457,2.3879561,114347
LAND,48.8812401,2.3682868,117173
LEVA,48.8975322,2.2777492,62446
MALF,48.800251,2.4296821,13138
MALA,48.8615397,2.3057038,89201
MASS,48.8225901,2.3745128,118274
MENI,48.8721544,2.4037482,4937
MEUD,48.8109658,2.2374444,72256
MTMA,48.8911426,2.3328015,97037
MTRL,48.8638142,2.4393305,11435
MTGE,48.8129761,2.3281774,98030
NANT,48.8995701,2.2020856,76497
NATI,48.8363358,2.3864553,116067
NEUI,48.8533498,2.5232197,49600
NOGT,48.8410335,2.4811483,27410
NOIS,48.8305459,2.5581148,45612
PANT,48.8994325,2.4067888,7971
PARM,48.865868,2.3738117,116803
PIER,48.9522474,2.3679943,113213
PLAI,48.8312252,2.3179593,100047
PLCL,48.7848706,2.2511388,70482
POIS,48.8466399,2.3510102,107444
PROY,48.8373818,2.3437573,108400
PUTX,48.8774088,2.2342116,72621
ROUS,48.8641652,2.34468,107713
RUEI,48.8648944,2.1786104,79063
RUNG,48.7602773,2.3672525,119094
STCL,48.8476967,2.2104174,82104
STDE,48.9450742,2.3410103,110227
STHO,48.8657739,2.3354932,97117
STOU,48.9088855,2.3416177,109496
STMR,48.7966356,2.5021718,29775
SEVI,48.8557905,2.3618234,106957
SUCY,48.7620811,2.5346265,47201
VILC,48.711906,2.5392,31672
VIJF,48.7918599,2.3529211,105895
VIMB,48.8817729,2.4978792,25542
VISG,48.7455213,2.45165,14979
VINC,48.8465216,2.4523426,19786
VITR,48.7877324,2.3889401,119890
TREM,48.9656533,2.5682444,41039
SEVR,48.8237667,2.2053723,81609
